state,county,date,m50_count
Alabama,,2020-03-02,96
Alabama,,2020-03-03,97
Alabama,,2020-03-04,93
Alabama,,2020-03-05,101
Alabama,,2020-03-06,120
Alabama,,2020-03-09,100
Alabama,,2020-03-10,100
Alabama,,2020-03-11,101
Alabama,,2020-03-12,108
Alabama,,2020-03-13,113
Alabama,,2020-03-16,87
Alabama,,2020-03-17,76
Alabama,,2020-03-18,70
Alabama,,2020-03-19,72
Alabama,,2020-03-20,76
Alabama,Autauga County,2020-03-02,99
Alabama,Autauga County,2020-03-03,94
Alabama,Autauga County,2020-03-04,94
Alabama,Autauga County,2020-03-05,99
Alabama,Autauga County,2020-03-06,116
Alabama,Autauga County,2020-03-09,108
Alabama,Autauga County,2020-03-10,98
Alabama,Autauga County,2020-03-11,98
Alabama,Autauga County,2020-03-12,106
Alabama,Autauga County,2020-03-13,102
Alabama,Autauga County,2020-03-16,79
Alabama,Autauga County,2020-03-17,70
Alabama,Autauga County,2020-03-18,65
Alabama,Autauga County,2020-03-19,57
Alabama,Autauga County,2020-03-20,66
Alabama,Baldwin County,2020-03-02,102
Alabama,Baldwin County,2020-03-03,97
Alabama,Baldwin County,2020-03-04,92
Alabama,Baldwin County,2020-03-05,105
Alabama,Baldwin County,2020-03-06,117
Alabama,Baldwin County,2020-03-09,98
Alabama,Baldwin County,2020-03-10,101
Alabama,Baldwin County,2020-03-11,102
Alabama,Baldwin County,2020-03-12,106
Alabama,Baldwin County,2020-03-13,115
Alabama,Baldwin County,2020-03-16,81
Alabama,Baldwin County,2020-03-17,74
Alabama,Baldwin County,2020-03-18,72
Alabama,Baldwin County,2020-03-19,72
Alabama,Baldwin County,2020-03-20,96
Alabama,Barbour County,2020-03-02,103
Alabama,Barbour County,2020-03-03,95
Alabama,Barbour County,2020-03-04,67
Alabama,Barbour County,2020-03-05,85
Alabama,Barbour County,2020-03-06,113
Alabama,Barbour County,2020-03-09,94
Alabama,Barbour County,2020-03-10,89
Alabama,Barbour County,2020-03-11,98
Alabama,Barbour County,2020-03-12,119
Alabama,Barbour County,2020-03-13,116
Alabama,Barbour County,2020-03-16,99
Alabama,Barbour County,2020-03-17,88
Alabama,Barbour County,2020-03-18,74
Alabama,Barbour County,2020-03-19,72
Alabama,Barbour County,2020-03-20,76
Alabama,Bibb County,2020-03-02,92
Alabama,Bibb County,2020-03-03,97
Alabama,Bibb County,2020-03-04,91
Alabama,Bibb County,2020-03-05,108
Alabama,Bibb County,2020-03-06,130
Alabama,Bibb County,2020-03-09,120
Alabama,Bibb County,2020-03-10,97
Alabama,Bibb County,2020-03-11,112
Alabama,Bibb County,2020-03-12,105
Alabama,Bibb County,2020-03-13,117
Alabama,Bibb County,2020-03-16,66
Alabama,Bibb County,2020-03-17,69
Alabama,Bibb County,2020-03-18,77
Alabama,Bibb County,2020-03-19,73
Alabama,Bibb County,2020-03-20,74
Alabama,Blount County,2020-03-02,92
Alabama,Blount County,2020-03-03,95
Alabama,Blount County,2020-03-04,94
Alabama,Blount County,2020-03-05,97
Alabama,Blount County,2020-03-06,109
Alabama,Blount County,2020-03-09,98
Alabama,Blount County,2020-03-10,94
Alabama,Blount County,2020-03-11,97
Alabama,Blount County,2020-03-12,101
Alabama,Blount County,2020-03-13,102
Alabama,Blount County,2020-03-16,85
Alabama,Blount County,2020-03-17,77
Alabama,Blount County,2020-03-18,67
Alabama,Blount County,2020-03-19,66
Alabama,Blount County,2020-03-20,66
Alabama,Bullock County,2020-03-02,105
Alabama,Bullock County,2020-03-03,157
Alabama,Bullock County,2020-03-04,61
Alabama,Bullock County,2020-03-05,118
Alabama,Bullock County,2020-03-06,112
Alabama,Bullock County,2020-03-09,75
Alabama,Bullock County,2020-03-10,113
Alabama,Bullock County,2020-03-11,76
Alabama,Bullock County,2020-03-12,173
Alabama,Bullock County,2020-03-13,145
Alabama,Bullock County,2020-03-16,93
Alabama,Bullock County,2020-03-17,59
Alabama,Bullock County,2020-03-18,73
Alabama,Bullock County,2020-03-19,87
Alabama,Bullock County,2020-03-20,95
Alabama,Butler County,2020-03-02,99
Alabama,Butler County,2020-03-03,98
Alabama,Butler County,2020-03-04,66
Alabama,Butler County,2020-03-05,102
Alabama,Butler County,2020-03-06,150
Alabama,Butler County,2020-03-09,115
Alabama,Butler County,2020-03-10,77
Alabama,Butler County,2020-03-11,92
Alabama,Butler County,2020-03-12,112
Alabama,Butler County,2020-03-13,147
Alabama,Butler County,2020-03-16,83
Alabama,Butler County,2020-03-17,80
Alabama,Butler County,2020-03-18,65
Alabama,Butler County,2020-03-19,81
Alabama,Butler County,2020-03-20,83
Alabama,Calhoun County,2020-03-02,96
Alabama,Calhoun County,2020-03-03,97
Alabama,Calhoun County,2020-03-04,92
Alabama,Calhoun County,2020-03-05,101
Alabama,Calhoun County,2020-03-06,123
Alabama,Calhoun County,2020-03-09,101
Alabama,Calhoun County,2020-03-10,98
Alabama,Calhoun County,2020-03-11,103
Alabama,Calhoun County,2020-03-12,110
Alabama,Calhoun County,2020-03-13,109
Alabama,Calhoun County,2020-03-16,92
Alabama,Calhoun County,2020-03-17,83
Alabama,Calhoun County,2020-03-18,77
Alabama,Calhoun County,2020-03-19,83
Alabama,Calhoun County,2020-03-20,79
Alabama,Chambers County,2020-03-02,99
Alabama,Chambers County,2020-03-03,88
Alabama,Chambers County,2020-03-04,88
Alabama,Chambers County,2020-03-05,95
Alabama,Chambers County,2020-03-06,116
Alabama,Chambers County,2020-03-09,88
Alabama,Chambers County,2020-03-10,96
Alabama,Chambers County,2020-03-11,93
Alabama,Chambers County,2020-03-12,105
Alabama,Chambers County,2020-03-13,108
Alabama,Chambers County,2020-03-16,84
Alabama,Chambers County,2020-03-17,69
Alabama,Chambers County,2020-03-18,63
Alabama,Chambers County,2020-03-19,57
Alabama,Chambers County,2020-03-20,68
Alabama,Cherokee County,2020-03-02,87
Alabama,Cherokee County,2020-03-03,98
Alabama,Cherokee County,2020-03-04,87
Alabama,Cherokee County,2020-03-05,108
Alabama,Cherokee County,2020-03-06,166
Alabama,Cherokee County,2020-03-09,95
Alabama,Cherokee County,2020-03-10,100
Alabama,Cherokee County,2020-03-11,107
Alabama,Cherokee County,2020-03-12,120
Alabama,Cherokee County,2020-03-13,104
Alabama,Cherokee County,2020-03-16,92
Alabama,Cherokee County,2020-03-17,78
Alabama,Cherokee County,2020-03-18,63
Alabama,Cherokee County,2020-03-19,67
Alabama,Cherokee County,2020-03-20,63
Alabama,Chilton County,2020-03-02,92
Alabama,Chilton County,2020-03-03,82
Alabama,Chilton County,2020-03-04,87
Alabama,Chilton County,2020-03-05,94
Alabama,Chilton County,2020-03-06,126
Alabama,Chilton County,2020-03-09,111
Alabama,Chilton County,2020-03-10,91
Alabama,Chilton County,2020-03-11,107
Alabama,Chilton County,2020-03-12,111
Alabama,Chilton County,2020-03-13,127
Alabama,Chilton County,2020-03-16,87
Alabama,Chilton County,2020-03-17,86
Alabama,Chilton County,2020-03-18,71
Alabama,Chilton County,2020-03-19,76
Alabama,Chilton County,2020-03-20,82
Alabama,Choctaw County,2020-03-02,131
Alabama,Choctaw County,2020-03-03,95
Alabama,Choctaw County,2020-03-04,57
Alabama,Choctaw County,2020-03-05,90
Alabama,Choctaw County,2020-03-06,114
Alabama,Choctaw County,2020-03-09,121
Alabama,Choctaw County,2020-03-10,82
Alabama,Choctaw County,2020-03-11,97
Alabama,Choctaw County,2020-03-12,119
Alabama,Choctaw County,2020-03-13,111
Alabama,Choctaw County,2020-03-16,80
Alabama,Choctaw County,2020-03-17,92
Alabama,Choctaw County,2020-03-18,80
Alabama,Choctaw County,2020-03-19,85
Alabama,Choctaw County,2020-03-20,81
Alabama,Clarke County,2020-03-02,105
Alabama,Clarke County,2020-03-03,97
Alabama,Clarke County,2020-03-04,85
Alabama,Clarke County,2020-03-05,97
Alabama,Clarke County,2020-03-06,134
Alabama,Clarke County,2020-03-09,96
Alabama,Clarke County,2020-03-10,98
Alabama,Clarke County,2020-03-11,108
Alabama,Clarke County,2020-03-12,118
Alabama,Clarke County,2020-03-13,116
Alabama,Clarke County,2020-03-16,94
Alabama,Clarke County,2020-03-17,61
Alabama,Clarke County,2020-03-18,77
Alabama,Clarke County,2020-03-19,72
Alabama,Clarke County,2020-03-20,97
Alabama,Clay County,2020-03-02,100
Alabama,Clay County,2020-03-03,104
Alabama,Clay County,2020-03-04,90
Alabama,Clay County,2020-03-05,90
Alabama,Clay County,2020-03-06,123
Alabama,Clay County,2020-03-09,95
Alabama,Clay County,2020-03-10,85
